Name,Street Address,City,State,Phone,,,
AdCare Hospital,107 Lincoln Street,Worcester,Massachusetts,(508) 799-9000,,,
Amesbury Health Center,24 Morrill Place,Amesbury,Massachusetts,(978) 388-5353,,,
"Anna Jaques Hospital, Part of Beth Israel Lahey Health",25 Highland Avenue,Newburyport,Massachusetts,(978) 463-1000,,,
Arbour Hospital,49 Robinwood Avenue,Jamaica Plain,Massachusetts,(617) 522-4400,,,
Athol Hospital,2033 Main Street,Athol,Massachusetts,(978) 249-3511,,,
Austen Riggs Center,25 Main Street,Stockbridge,Massachusetts,(800) 517-4447,,,
Baldpate Hospital,83 Baldpate Road,Georgetown,Massachusetts,(978) 352-2131,,,
BayRidge Hospital,60 Granite Street,Lynn,Massachusetts,(781) 599-9200,,,`
Baystate Franklin Medical Center,164 High Street,Greenfield,Massachusetts,(413) 773-0211,,,
Baystate Medical Center,759 Chestnut Street,Springfield,Massachusetts,(413) 794-0000,,,
Baystate Noble Hospital,"115 W. Silver St, P.O. Box 1634",Westfield,Massachusetts,(413) 568-2811,,,
Baystate Wing Hospital,40 Wright Street,Palmer,Massachusetts,(413) 283-7651,,,
Berkshire Medical Center,725 North Street,Pittsfield,Massachusetts,(413) 447-2000,,,
Hillcrest Hospital,165 Tor Court,Pittsfield,Massachusetts,(413) 443-4761,,,
"Beth Israel Deaconess Hospital-Milton, Part of Beth Israel Lahey Health",199 Reedsdale Road,Milton,Massachusetts,(617) 696-4600,,,
"Beth Israel Deaconess Hospital-Needham, Part of Beth Israel Lahey Health",148 Chestnut Street,Needham,Massachusetts,(781) 453-3000,,,
"Beth Israel Deaconess Hospital-Plymouth, Part of Beth Israel Lahey Health",275 Sandwich Street,Plymouth,Massachusetts,(508) 746-2000,,,
"Beth Israel Deaconess Medical Center, Part of Beth Israel Lahey Health",330 Brookline Avenue,Boston,Massachusetts,(617) 667-8000,,,
"Beverly Hospital, Part of Beth Israel Lahey Health",85 Herrick Street,Beverly,Massachusetts,(978) 922-3000,,,
Addison Gilbert Hospital,298 Washington Street,Gloucester,Massachusetts,(978) 283-4000,,,
Boston Children's Hospital,300 Longwood Avenue,Boston,Massachusetts,(617) 355-6000,,,
Boston Medical Center,1 Boston Medical Center Place,Boston,Massachusetts,(617) 638-8000,,,
Bournewood Hospital,300 South Street,Chestnut Hill,Massachusetts,(617) 469-0300,,,
Bridgewater State Hospital,20 Administration Road,Bridgewater,Massachusetts,(508) 279-4500,,,
Brigham and Women's Faulkner Hospital,1153 Centre Street,Boston,Massachusetts,(617) 983-7000,,,
Brigham and Women's Hospital,75 Francis Street,Boston,Massachusetts,(617) 732-5500,,,
Cambridge Health Alliance,1493 Cambridge Street,Cambridge,Massachusetts,(617) 665-1000,,,
Somerville Hospital,33 Tower Street,Somerville,Massachusetts,(617) 591-4500,,,
Everett Hospital,103 Garland Street,Everett,Massachusetts,(617) 389-6270,,,
Cape Cod Hospital,27 Park Street,Hyannis,Massachusetts,(508) 771-1800,,,
Carney Hospital,2100 Dorchester Avenue,Dorchester,Massachusetts,(617) 296-4000,,,
Steward Satellite ER Facility-Quincy,114 Whitwell Street,Quincy,Massachusetts,(617) 773-6100,,,
Cooley Dickinson Health (Hospital),30 Locust Street,Northampton,Massachusetts,(413) 582-2000,,,
Curahealth Hospital Stoughton,"909 Sumner Street, First Floor",Stoughton,Massachusetts,(781) 297-8200,,,
"Dana-Farber Cancer Institute, Inc.",450 Brookline Avenue,Boston,Massachusetts,(617) 632-3000,,,
Deerfield Academy Infirmary,Albany Road,Deerfield,Massachusetts,(413) 772-0241,,,
Dr John C Corrigan Mental Health Center,49 Hillside Street,Fall River,Massachusetts,(508) 235-7200,,,
Dr. Solomon Carter Fuller Mental Health Center,85 East Newton Street,Boston,Massachusetts,(617) 626â€“9200,,,
Emerson Health,133 Old Road to Nine Acre Corner,Concord,Massachusetts,(978) 369-1400,,,
Encompass Health Rehabilitation Hospital of Braintree,250 Pond Street,Braintree,Massachusetts,(781) 348-2500,,,
Encompass Health Rehabilitation Hospital of New England,2 Rehabilitation Way,Woburn,Massachusetts,(781) 935-5050,,,
New England Rehab Hospital At Danvers,75 Lindall Street,Danvers,Massachusetts,(978) 762-0679,,,
New England Rehab Hospital At Lowell,1071 Varnum Avenue,Lowell,Massachusetts,(978) 446-1862,,,
Encompass Health Rehabilitation Hospital of Western Massachusetts,222 State Street,Ludlow,Massachusetts,(413) 308-3300,,,
"Fairlawn Rehabilitation Hospital, An Affiliate of Encompass Health",189 May Street,Worcester,Massachusetts,(508) 791-6351,,,
Fairview Hospital,29 Lewis Avenue,Great Barrington,Massachusetts,(413) 528-0790,,,
Falmouth Hospital,100 Ter Heun Drive,Falmouth,Massachusetts,(508) 548-5300,,,
Franciscan Children's,30 Warren Street,Brighton,Massachusetts,(617) 254-3800,,,
Fuller Hospital,200 May Street,S. Attleboro,Massachusetts,(508) 761-8500,,,
Good Samaritan Medical Center,235 N. Pearl Street,Brockton,Massachusetts,(508) 427-3000,,,
Groton School Infirmary,"282 Farmers Row, PO BOX 991",Groton,Massachusetts,(978) 448-2844,,,
Harrington Hospital,100 South Street,Southbridge,Massachusetts,(508) 765-9771,,,
Hebrew Rehabilitation Center,1200 Centre Street,Roslindale,Massachusetts,(617) 363-8000,,,
Heywood Hospital,242 Green Street,Gardner,Massachusetts,(978) 632-3420,,,
High Point Hospital,52 Oak Street,Middleboro,Massachusetts,(774) 213-8400,,,
High Point Treatment,1233 State Road,Plymouth,Massachusetts,(508) 224-7701,,,
"High Point Treatment Center, Inc.",100 North Front Street,New Bedford,Massachusetts,(508) 997-0475,,,
Holy Family Hospital,70 East Street,Methuen,Massachusetts,(978) 687-0151,,,
Holy Family Hospital At Merrimack Valley,140 Lincoln Avenue,Haverhill,Massachusetts,(978) 374-2000,,,
Holyoke Medical Center,575 Beech Street,Holyoke,Massachusetts,(413) 534-2500,,,
Homberg Infirmary,25 Carleton Street,Cambridge,Massachusetts,(617) 253-4481,,,
Hospital for Behavioral Medicine,100 Century Drive,Worcester,Massachusetts,(844) 319-0000,,,
HRI Hospital,227 Babcock Street,Brookline,Massachusetts,(617) 731-3200,,,
Isham Health Center,180 Main Street,Andover,Massachusetts,(978) 749-4455,,,
"Lahey Hospital & Medical Center, Part of Beth Israel Lahey Health","41 Mall Road, P.O. Box 541",Burlington,Massachusetts,(781) 744-5100,,,
Lahey Medical Center,1 Essex Center Drive,Peabody,Massachusetts,(978) 538-4000,,,
Lawrence General Hospital,1 General Street,Lawrence,Massachusetts,(978) 683-4000,,,
Lemuel Shattuck Hospital,170 Morton Street,Boston,Massachusetts,(617) 522-8110,,,
Lowell General Hospital,295 Varnum Avenue,Lowell,Massachusetts,(978) 937-6000,,,
Saints Medical Center,1 Hospital Drive,Lowell,Massachusetts,(978) 458-1411,,,
Martha's Vineyard Hospital,"1 Hospital Road, P.O. Box 1477",Oak Bluffs,Massachusetts,(508) 693-0410,,,
Massachusetts Eye and Ear Infirmary,243 Charles Street,Boston,Massachusetts,(617) 523-7900,,,
Massachusetts General Hospital,55 Fruit Street,Boston,Massachusetts,(617) 726-2000,,,
McLean Hospital,115 Mill Street,Belmont,Massachusetts,(617) 855-2000,,,
Naukeag Hospital,216 Lake Road,Ashburnham,Massachusetts,(800) 230-8764,,,
MelroseWakefield Healthcare (hospital),170 Governors Avenue,Medford,Massachusetts,(781) 306-6000,,,
Melrose-Wakefield Hospital,585 Lebanon Street,Melrose,Massachusetts,(781) 979-3000,,,
Lawrence Memorial Hospital,170 Governors Avenue,Medford,Massachusetts,(781) 306-6000,,,
Mercy Medical Center,271 Carew St. P.O. Box 9012,Springfield,Massachusetts,(413) 748-9000,,,
MetroWest Medical Center,115 Lincoln Street,Framingham,Massachusetts,(508) 383-1000,,,
Leonard Morse Hospital,67 Union Street,Natick,Massachusetts,(508) 650-7000,,,
Framingham Union Hospital,115 Lincoln Street,Framingham,Massachusetts,(508) 383-1000,,,
Milford Regional Medical Center,14 Prospect Street,Milford,Massachusetts,(508) 473-1190,,,
MiraVista Behavioral Health Center,1233 Main Street,Holyoke,Massachusetts,(978) 615-5227,,,
Morton Hospital,88 Washington Street,Taunton,Massachusetts,(508) 828-7000,,,
"Mount Auburn Hospital, Part of Beth Israel Lahey Health",330 Mount Auburn Street,Cambridge,Massachusetts,(617) 492-3500,,,
Nantucket Cottage Hospital,57 Prospect Street,Nantucket,Massachusetts,(508) 825-8100,,,
Nashoba Valley Medical Center,200 Groton Road,Ayer,Massachusetts,(978) 784-9000,,,
"New England Baptist Hospital, Part of Beth Israel Lahey Health",125 Parker Hill Avenue,Boston,Massachusetts,(617) 754-5800,,,
New England Recovery Center,153 Oak Street,Westborough,Massachusetts,(855) 774-0744,,,
New England Sinai Hospital,150 York Street,Stoughton,Massachusetts,(781) 344-0600,,,
Newton-Wellesley Hospital,2014 Washington Street,Newton,Massachusetts,(617) 243-6000,,,
Norwood Hospital,800 Washington Street,Norwood,Massachusetts,(781) 769-4000,,,
Pappas Rehabilitation Hospital for Children,3 Randolph Street,Canton,Massachusetts,(781) 828-2440,,,
Pembroke Hospital,199 Oak Street,Pembroke,Massachusetts,(781) 829-7000,,,
Pocasset Mental Health Center,830 County Road,Pocasset,Massachusetts,(508) 564-9600,,,
(Lawrence F.) Quigley Memorial Hospital,91 Crest Avenue,Chelsea,Massachusetts,(617) 884-5660,,,
Saint Anne's Hospital,795 Middle Street,Fall River,Massachusetts,(508) 674-5741,,,
St. Elizabeth's Medical Center,736 Cambridge Street,Brighton,Massachusetts,(617) 789-3000,,,
Saint Vincent Hospital,123 Summer Street,Worcester,Massachusetts,(508) 363-5000,,,
Salem Hospital,81 Highland Avenue,Salem,Massachusetts,(978) 741-1200,,,
NSMC Salem Hospital,81 Highland Avenue,Salem,Massachusetts,(978) 741-1200,,,
NSMC Union Hospital,500 Lynnfield Street,Lynn,Massachusetts,(781) 581-9200,,,
Shriners Hospitals for Children - Springfield,516 Carew Street,Springfield,Massachusetts,(413) 787-2000,,,
Shriners Hospitals for Children-Boston,51 Blossom Street,Boston,Massachusetts,(617) 722-3000,,,
Signature Healthcare Brockton Hospital,680 Centre Street,Brockton,Massachusetts,(508) 941-7000,,,
Soldiers' Home in Chelsea,91 Crest Avenue,Chelsea,Massachusetts,(617) 884-5660,,,
South Shore Hospital,55 Fogg Road,South Weymouth,Massachusetts,(781) 624-8000,,,
Southcoast Behavioral Health Hospital,581 Faunce Corner Road,North Dartmouth,Massachusetts,(508) 809-4487,,,
Southcoast Hospitals Group,363 Highland Avenue,Fall River,Massachusetts,(508) 679-3131,,,
St. Luke's Hospital,101 Page Street,New Bedford,Massachusetts,(508) 997-1515,,,
Tobey Hospital,43 High Street,Wareham,Massachusetts,(508) 295-0880,,,
Charlton Memorial Hospital,363 Highland Avenue,Fall River,Massachusetts,(508) 679-3131,,,
Spaulding Hospital for Continuing Medical Care Cambridge,1575 Cambridge Street,Cambridge,Massachusetts,(617) 876-4344,,,
Spaulding Rehabilitation Hospital Cape Cod,311 Service Road,East Sandwich,Massachusetts,(508) 833-4000,,,
Spaulding Rehabilitation Hospital Boston,300 First Ave.,Charlestown,Massachusetts,(617) 952-5000,,,
Sturdy Memorial Hospital,P.O. Box 2963,Attleboro,Massachusetts,(508) 222-5200,,,
TaraVista Behavioral Health Center,85 Patton Road,Devens,Massachusetts,(978) 615-5200,,,
Taunton State Hospital,"PO Box 4007, 60 Hodges Avenue",Taunton,Massachusetts,(508) 977-3000,,,
Tewksbury Hospital,365 East Street,Tewksbury,Massachusetts,(978) 851-7321,,,
Tufts Medical Center,800 Washington Street,Boston,Massachusetts,(617) 636-5000,,,
UMass Memorial HealthAlliance-Clinton Hospital,60 Hospital Rd.,Leominster,Massachusetts,(978) 466-2000,,,
Burbank Hospital,275 Nichols Road,Fitchburg,Massachusetts,(978) 343-5000,,,
Leominister Hospital,60 Hospital Road,Leominster,Massachusetts,(978) 466-2000,,,
UMass Memorial Marlborough Hospital,157 Union Street,Marlborough,Massachusetts,(508) 481-5000,,,
UMass Memorial Medical Center,119 Belmont Street,Worcester,Massachusetts,(508) 334-1000,,,
UMass Memorial Medical Center-University,55 Lake Avenue North,Worcester,Massachusetts,(508) 334-1000,,,
UMass Memorial Medical Center-Memorial,119 Belmont Street,Worcester,Massachusetts,(508) 334-1000,,,
UMass Memorial Medical Center-Hahneman,281 Lincoln Street,Worcester,Massachusetts,(508) 334-1000,,,
VA Bedford Healthcare System,200 Springs Road,Bedford,Massachusetts,(781) 687-2000,,,
VA Boston Healthcare System,1400 VFW Parkway,West Roxbury,Massachusetts,(617) 323-7700,,,
VA Boston Healthcare-Brockton,940 Belmont Street,Brockton,Massachusetts,(508) 583-4500,,,
VA Boston Healthcare-Jamaica Plain,150 S. Huntington Avenue,Jamaica Plain,Massachusetts,(617) 232-9500,,,
VA Central Western Massachusetts Healthcare System,421 North Main Street,Leeds,Massachusetts,(413) 584-4040,,,
Vibra Hospital of Southeastern Massachusetts,4499 Acushnet Avenue,New Bedford,Massachusetts,(508) 995-6900,,,
Vibra Hospital of Western Massachusetts,1400 State Street,Springfield,Massachusetts,(413) 787-6700,,,
"Vibra Hospital of Western MA,Central Cam",111 Huntoon Memorial Highway,Rochdale,Massachusetts,(508) 892-6000,,,
"Walden Behavioral Care, LLC",51 Sawyer Road,Waltham,Massachusetts,(781) 647-6700,,,
Westborough Behavioral Healthcare Hospital,300 Friberg Parkway,Westborough,Massachusetts,(508) 329-6300,,,
Western Massachusetts Hospital,91 East Mountain Road,Westfield,Massachusetts,(413) 562-4131,,,
Whittier Pavilion,76 Summer Street,Haverhill,Massachusetts,(978) 373-8222,,,
Whittier Rehabilitation Hospital-Westborough,"150 Flanders Road, P.O. Box 1250",Westborough,Massachusetts,(508) 870-2222,,,
Whittier Rehabilitation Hospital-Bradford,145 Ward Hill,Bradford,Massachusetts,(978) 372-8000,,,
"Winchester Hospital, Part of Beth Israel Lahey Health",41 Highland Avenue,Winchester,Massachusetts,(781) 729-9000,,,
Worcester Recovery Center and Hospital,309 Belmont Street,Worcester,Massachusetts,(508) 368-4000,,,